company_code,company_name,month_create
0317349696-001,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ VÀ PHÁT TRIỂN TRƯỜNG SƠN- CHI NHÁNH HÓC MÔN,June
1801530547-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ KINH DOANH VẬT LIỆU XÂY DỰNG THÁI SƠN,June
1900636209-001,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH – CÔNG TY TNHH XUẤT NHẬP KHẨU SEAVIAN,June
0317339987-001,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỆT MAY THIÊN TUẤN - XƯỞNG DỆT VĨNH LỘC,June
0311934997-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN THƯƠNG MẠI KỸ THUẬT HẢI VÂN,June
8764604399-001,H� KINH DOANH SIX 9 STUDIO,June
0317369156,CÔNG TY LUẬT TNHH HHG VIỆT NAM,June
8763649502,NGUYỄN THỊ MỘNG UYÊN,June
0107706045-001,CHI NHÁNH CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG KHÔNG HOÀN VŨ HÀ NỘI VIỆT NAM TẠI THÀNH PHỐ HỒ CHÍ MINH,June
0301494112-003,CHI NHÁNH HỢP TÁC XÃ THƯƠNG MẠI DỊCH VỤ NGUYỄN CƯ TRINH-CÀ PHÊ K5,June
8764322299-001,LÊ THỊ OANH,June
8763458610,PHAN QUỐC HIỆP,June
8764152992-001,NGUYỄN MINH PHƯƠNG,June
8764250848-001,NGUYỄN ĐÌNH CHỦ,June
8764254585-001,PHỒNG A LỤC,June
0110027149-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH TẬP ĐOÀN XÂY DỰNG SKY GROUP TẠI HỒ CHÍ MINH,June
0313155266-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU THỊNH VƯỢNG PHÁT TÀI - KHO CHỨA HÀNG,June
0313407812-003,CHI NHÁNH CÔNG TY TNHH XUẤT NHẬP KHẨU THÁI THỊNH PHÁT-HM,June
0313525615-001,CHI NHÁNH 1 CÔNG TY TNHH BAO BÌ LƯƠNG THỰC TRUNG ĐIỆP,June
0315145432-001,CHI NHÁNH CÔNG TY TNHH SX BAO BÌ THÁI HOÀNG LONG,June
0316132820-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN CÔNG NGHỆ SINH HỌC NASAFE,June
0316621959-002,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ QUÂN VINH SG,June
0317061026-001,CHI NHÁNH VĂN PHÒNG HCM - CÔNG TY CỔ PHẦN ĐẦU TƯ KOINA INVESTMENT GROUP,June
0317113034-003,TRUNG TÂM BHO TƯ VẤN HỌC LÁI XE Ô TÔ BẰNG B1 B2 VÀ C BÌNH THẠNH - CHI NHÁNH CÔNG TY CỔ PHẦN BẠN HỮU,June
0317283068-001,CHI NHÁNH CÔNG TY CỔ PHẦN VP LAND HOLDINGS,June
3702924939-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT NỘI NGOẠI THẤT DTC,June
0315862447-001,CHI NHÁNH CÔNG TY TNHH TƯ VẤN DỊCH VỤ NHÀ ĐẤT GIA KHANG,June
3702264182-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BE VI CO,June
3703065077-001,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT GIÀY HỒNG THÁI � CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,June
0107886616-001,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY TNHH VIỆT ĐỨC CTC,June
0310206480-001,CHI NHÁNH 1 CÔNG TY TNHH VÀNG BẠC THƯƠNG MẠI DỊCH VỤ TUẤN KIỆT,June
0310245659-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TƯ VẤN VÀ ĐẦU TƯ NĂNG LƯỢNG SÀI GÒN,June
0310381122-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN CÔNG NGHỆ AMBEE,June
0311923554-001,CÔNG TY CỔ PHẦN GKIM VIỆT NAM - CHI NHÁNH HỒ CHÍ MINH,June
0312108880-001,KHÁCH SẠN NGUYÊN HƯƠNG-CHI NHÁNH CÔNG TY TNHH THE H&M,June
0312122451-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN HÓA NHỰA SÀI GÒN,June
0303982764-006,CHI NHÁNH ĐỖ XUÂN HỢP - CÔNG TY TNHH VIỆT HẠ CHÍ,June
0312078996-079,CHI NHÁNH CÔNG TY TNHH LILAMITI,June
0312195192-001,VĂN PHÒNG ĐẠI DIỆN TẠI TPHCM - CÔNG TY TNHH VẬN TẢI DU LỊCH GIA NGHĨA,June
0315857285-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH PHÂN PHỐI GIẢI PHÁP VIỆT,June
0316884669-002,CHI NHÁNH 2 CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ SAGOVET,June
0317238844-001,CHI NHÁNH C CENTRAL HOTEL- CÔNG TY TNHH DDA HOTEL,June
0106924989-004,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY TNHH DỊCH VỤ VÀ GIẢI TRÍ K&H,June
0303351261-015,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÂN BÌNH � CHI NHÁNH ÂU CƠ,June
0312639151-004,VĂN PHÒNG ĐẠI DIỆN MIỀN NAM - CÔNG TY TRÁCH NHIỆM HỮU HẠN TƯ VẤN BẤT ĐỘNG SẢN SAO MỘC,June
0312654287-002,CHI NHÁNH CÔNG TY TNHH NHÀ HÀNG ENYA,June
0314062487-001,CHI NHÁNH CÔNG TY TNHH MAY MẶC KHOA LINH,June
0314248202-002,CHI NHÁNH 2 - CÔNG TY TNHH VẢI HÙNG HẠNH,June
0314299599-011,CHI NHÁNH MORICO BOX QUẬN 7 – CÔNG TY TNHH KAMO,June
0314614032-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TẬP ĐOÀN VIỆT TÍN,June
0314636928-002,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ TRANG TRÍ NỘI THẤT PHÚC KHANG,June
0315901223-001,CÔNG TY CỔ PHẦN HOUSEZY - CHI NHÁNH TRƯỜNG CHINH,June
0316567099-002,CHI NHÁNH 2 - CÔNG TY TNHH TRULY BEAUTY,June
0317067853-002,CHI NHÁNH ORIENTAL - CÔNG TY CỔ PHẦN GETFIT BEAUTY & SPA,June
0317109408-001,CHI NHÁNH CÔNG TY TNHH BAO BÌ GIẤY MEBOX - XƯỞNG SẢN XUẤT,June
0317350035-001,CHI NHÁNH CÔNG TY TNHH CÔNG NGHỆ SMART HOME CAMERA,June
1101966289-002,CHI NHÁNH KHO HÀNG - CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI CƠ KHÍ THÁI LONG,June
0316405820-001,CHI NHÁNH CÔNG TY CỔ PHẦN THIẾT KẾ XÂY DỰNG VÀ CÔNG NGHỆ THUỶ MỘC,June
0317335051-001,CHI NHÁNH DOANH NGHIỆP TƯ NHÂN VÀNG BẠC ĐÁ QUÝ TÂN KIM SINH,June
0316079729-001,CHI NHÁNH - CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI DŨNG HÀ,June
0313357921-005,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN TRƯỜNG ĐẠT KIỀU TRANG,June
0315873590-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ KỸ THUẬT ANH MINH,June
0104066358-002,CÔNG TY TNHH FUJITA VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,June
0109906219-001,CHI NHÁNH TẠI TP HỒ CHÍ MINH CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ NHẬT TÍN PHÁT,June
0316837316-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ S.I KIM PHÁT,June
0316950914-002,DC THỦ ĐỨC � CHI NHÁNH CÔNG TY CỔ PHẦN KOINA LOGISTICS,June
0317129309-002,CHI NHÁNH CÔNG TY TNHH GOLDEN FINANCIAL SOLUTIONS - HỌC VIỆN VIỆT NAM BLOCKCHAIN INNOVATION,June
0317178289-001,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI PHÚ AN KHANG � CHI NHÁNH TÂN THẠNH ĐÔNG CỦ CHI,June
0316397577-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI TRANG TRÍ NỘI THẤT AN HUY,June
0314695585-001,CHI NHÁNH CÔNG TY TNHH THỰC PHẨM NHẬT KIM THÀNH,June
0316061383-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU PHÁT MINH,June
0101833939-004,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ XÂY DỰNG THỊNH PHÁT,June
0102885150-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ TRUYỀN THÔNG BIHACO TẠI HỒ CHÍ MINH,June
0104764641-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN KINH DOANH XUẤT NHẬP KHẨU GIA ÂN,June
0312215804-001,CHI NHÁNH CÔNG TY TNHH IN ẤN MAY MẶC PHAN TRẦN,June
0312746717-002,VĂN PHÒNG ĐẠI DIỆN THÀNH PHỐ HỒ CHÍ MINH CÔNG TY TNHH NĂNG LƯỢNG MÔI TRƯỜNG BIỂN ĐÔNG,June
0312151822-003,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH CÔNG TY TNHH DỊCH VỤ DU LỊCH VÀ VẬN TẢI HOÀI NGÂN,June
0312370687-002,CHI NHÁNH CÔNG TY TNHH YẾN NGUYỆT,June
0312620263-004,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN XÂY DỰNG NGHĨA TRANG LONG THÀNH,June
0313042544-003,CHI NHÁNH 3 CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU THỜI TRANG MINH THY,June
0313729425-001,CHI NHÁNH TÂN BÌNH � CÔNG TY CỔ PHẦN BSTAR SOLUTIONS,June
0314515810-001,CHI NHÁNH CÔNG TY TNHH GIÁO DỤC VÀ PHÁT TRIỂN TƯ DUY VIBI,June
0314608381-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ KỸ THUẬT THUẬN PHÁT,June
0314662572-001,CHI NHÁNH CÔNG TY TNHH GIÁO DỤC NGÔI SAO VIỆT,June
0316322035-001,CHI NHÁNH CÔNG TY TNHH TM DV L'AURORE,June
0316329087-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THIẾT BỊ Y TẾ ANH HUY,June
0316502510-001,CHI NHÁNH CÔNG TY TNHH DỊCH VỤ VẬN CHUYỂN QUỐC TẾ MINH ANH,June
0316863122-001,CHI NHÁNH CÔNG TY TNHH XUẤT NHẬP KHẨU D&P RUBY,June
0316970621-001,CHI NHÁNH CÔNG TY TNHH TMDV TÙNG BÁCH CÁT,June
0317037217-002,CHI NHÁNH CÔNG TY TNHH GOTTA HOMES - THÀNH PHỐ THỦ ĐỨC,June
0317335541-001,CHI NHÁNH CÔNG TY TNHH BẤT ĐỘNG SẢN LỘC PHÚ,June
0401973084-005,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ VẠN HẢI - TẠI THÀNH PHỐ HỒ CHÍ MINH,June
1602147675-001,CHI NHÁNH CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ HƯNG PHÚC AN,June
1702169721-002,CHI NHÁNH SÀI GÒN - CÔNG TY TNHH TRẦN CÁC KHOA CHI,June
5801358357-032,CHI NHÁNH VIỆN THẨM MỸ DIVA HÓC MÔN THUỘC CÔNG TY CỔ PHẦN TẬP ĐOÀN DIVA GROUP,June
0100233488-072,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN QUỐC TẾ VIỆT NAM-CHI NHÁNH NHÀ BÈ,June
0303530775-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH TƯ VẤN THIẾT KẾ KIẾN TRÚC VÀ XÂY DỰNG NGHI HÂN,June
5900971902-001,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN GIÀU NGUYỄN TẠI THÀNH PHỐ HỒ CHÍ MINH,June
0317299621-001,CHI NHÁNH CÔNG TY TNHH LINK SMART,June
0317384027,CÔNG TY LUẬT TRÁCH NHIỆM HỮU HẠN BTD COUNSEL,June
0317383143,"BAN QUẢN TRỊ NHÀ CHUNG CƯ FLORA MIZUKI - BLOCK MP1, MP2",June
0317183426-001,CHI NHÁNH BÌNH TÂN - CÔNG TY TNHH THỰC PHẨM PATIK,June
8454999852-001,HUỲNH THỊ THANH TRÚC,June
0304621672-007,CHI NHÁNH 7 - CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ NGUYỄN HÙNG,June
0317380505,VI�N KHOA H�C H�NH CH�NH V� H�P T�C QU�C T�,June
0110022253-001,CHI NHÁNH TP. HỒ CHÍ MINH - CÔNG TY TNHH PLANDO VIỆT NAM,June
0107509921-001,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN NAM PHÚC,June
0317363066,HỢP TÁC XÃ DỊCH VỤ VẬN TẢI QUANG NHẬT,June
0312301838-040,CHI NHÁNH CAO THẮNG CÔNG TY TNHH BOBAPOP,June
8763515925,TRẦN THỊ MỘNG THU,June
0317374212,CÔNG TY LUẬT TNHH PHIẾN LÊ VÀ CỘNG SỰ,June
0317373586,VĂN PHÒNG ĐẠI DIỆN JUNG ASIA PTE LTD TẠI THÀNH PHỐ HỒ CHÍ MINH,June
0317373473,VĂN PHÒNG ĐẠI DIỆN GLOBAL SOURCING SERVICES PTY LTD TẠI THÀNH PHỐ HỒ CHÍ MINH,June
0317373466,"VĂN PHÒNG ĐẠI DIỆN FUJI TECHNOLOGY CO., LTD TẠI THÀNH PHỐ HỒ CHÍ MINH",June
0317372751,CÔNG TY LUẬT TNHH MTV ĐÔNG HƯNG,June
0317372624,VĂN PHÒNG ĐẠI DIỆN ENVIRONMENTAL SCIENCE U.S. INC TẠI THÀNH PHỐ HỒ CHÍ MINH,June
0108263685-002,CHI NHÁNH - CÔNG TY TNHH DU LỊCH ĐƯỜNG THẾ GIỚI TẠI THÀNH PHỐ HỒ CHÍ MINH,June
0306992224-001,TRẦN THỦY TIÊN,June
3603867479-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN CABX TẠI TP. HCM,June
0314518547-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TỨ UYÊN,June
0109863893-003,CÔNG TY CỔ PHẦN TẬP ĐOÀN TÀI CHÍNH CÔNG NGHỆ UMEE - CHI NHÁNH LÊ QUÝ ĐÔN,June
0311114017-010,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN NEW IMAGE VIỆT NAM - KHO HÀNG HÓA,June
0313318496-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN XÂY DỰNG VÀ DẦU NHỚT MINH GIANG,June
0313861374-001,CHI NHÁNH - CÔNG TY TNHH THỰC PHẨM - MỸ PHẨM NHẬT VIỆT,June
0316272151-004,CÔNG TY TNHH Q8 LASER VIỆT NAM - CHI NHÁNH THỦ ĐỨC,June
0317323070-001,CHI NHÁNH CÔNG TY TNHH ESG JEANS - XƯỞNG SẢN XUẤT GIA CÔNG MAY MẶC,June
3702547864-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH ĐIỆN LẠNH PHƯƠNG AN TẠI TP.HCM,June
0700847401-001,CHI NHÁNH CÔNG TY CP NHÔM KHANG MINH TẠI THÀNH PHỐ HỒ CHÍ MINH,June
2901948509-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN BIỂN QUỲNH,June
8097937662,LÝ THỊ LIÊN,June
0317385542,BAN QUẢN TRỊ CHUNG CƯ THANH ĐA VIEW,June
0108573260-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH AVANTI-GROUP,June
0312549726-003,SCARLETT - CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN SAMAA,June
4001200094-001,VĂN PHÒNG ĐẠI DIỆN - CÔNG TY TNHH CÔNG NGHỆ SỐ ĐOM ĐÓM,June
0317207571-001,CHI NHÁNH CÔNG TY CỔ PHẦN CÔNG NGHỆ 3P COS,June
0314405952-009,CÔNG TY CỔ PHẦN INN SAIGON – CHI NHÁNH ESTA,June
5801358357-033,CHI NHÁNH VIỆN THẨM MỸ DIVA TÂN BÌNH THUỘC CÔNG TY CỔ PHẦN TẬP ĐOÀN DIVA GROUP,June
0302567652-187,CÔNG TY TNHH MỘT THÀNH VIÊN BLUE EXCHANGE - CHI NHÁNH SỐ 12 TP.HCM,June
0313491250-001,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ XUẤT NHẬP KHẨU INCOFFEE,June
0314832288-002,CHI NHÁNH CÔNG TY CỔ PHẦN THÔNG GIÓ CÔNG NGHIỆP BREEZE,June
0315698028-002,CHI NHÁNH 1 CÔNG TY TNHH DỊCH VỤ MASSAGE H.HẠNH LONG,June
0315959424-001,CHI NHÁNH CÔNG TY CỔ PHẦN DOANH NHÂN THỜI ĐẠI MỚI - CÂU LẠC BỘ DOANH NHÂN THỜI ĐẠI MỚI,June
0316685247-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CHỒI XANH MEDIA,June
0316756628-002,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI NAM AUTO-CHI NHÁNH NAM AUTO,June
0800940115-003,CÔNG TY CỔ PHẦN ĐẦU TƯ SẢN XUẤT VÀ THƯƠNG MẠI HCD-CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,June
4401053302-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH ĐẦU TƯ VÀ XÂY DỰNG DUYÊN HẢI MIỀN TRUNG VN,June
0308971156-002,VĂN PHÒNG ĐẠI DIỆN 2 CÔNG TY TNHH DỊCH VỤ BẠN ĐỒNG ĐỘI,June
0313332966-001,CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI - DỊCH VỤ - DU LỊCH MINH THƯ,June
0312301838-044,CHI NHÁNH TÔ HIẾN THÀNH CÔNG TY TNHH BOBAPOP,June
0312637193-002,CHI NHÁNH 2 - CÔNG TY CỔ PHẦN NỒI HƠI SÀI GÒN,June
0313311483-001,CHI NHÁNH CÔNG TY TNHH THIẾT KẾ VÀ IN ẤN TIẾN PHÁT,June
0313671140-001,CHI NHÁNH CÔNG TY TNHH THIẾT KẾ IN ẤN NGỌC PHƯỚC,June
0314250850-002,CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN ITALINO,June
0314396842-001,CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI BKV - CHI NHÁNH Q.9,June
0315906140-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN NOVA HOLDING,June
0317210479-002,CHI NHÁNH CÔNG TY TNHH NHA KHOA NHÂN HÒA,June
0107879626-003,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN THƯƠNG MẠI QUỐC TẾ CỬU TƯ,June
0306182822-006,CHI NHÁNH XƯỞNG SẢN XUẤT - CÔNG TY TNHH KỸ THUẬT CƠ KHÍ HOÀNG PHÚC,June
0313020893-001,CHI NHÁNH GIA PHÚC - CÔNG TY TNHH NEWZONE GIFT & DECOR,June
0313526513-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY DỰNG PHAN GIA PHÁT,June
0317277427-001,CHI NHÁNH CÔNG TY TNHH ĐIỆN LẠNH ĐIỆN CÔNG NGHIỆP CƯỜNG THỊNH,June
0317280532-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI ĐÁ MIỀN NAM-KHO ĐÁ ĐÔNG SÀI GÒN,June
0317341979-001,CHI NHÁNH DOANH NGHIỆP TƯ NHÂN WASH HÀ ANH,June
2500657929-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH MỘT THÀNH VIÊN ILABSOFT,June
3702584859-006,CHI NHÁNH 6 CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ TAIYO,June
3702868314-001,CHI NHÁNH QUẬN 11 - CÔNG TY TNHH MỘT THÀNH VIÊN HUỲNH GIA KHIÊM,June
0109103243-001,CÔNG TY TNHH TOÀN CẦU DAS VIỆT NAM - CHI NHÁNH TP HỒ CHÍ MINH,June
0310634711-001,CHI NHÁNH XƯỞNG SẢN XUẤT - CÔNG TY CỔ PHẦN TƯƠNG SINH,June
0313830094-005,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CHẾ BIẾN THỰC PHẨM THIÊN ÂN,June
0314068834-003,CHI NHÁNH CÔNG TY TNHH NGOẠI NGỮ QUỐC TẾ XUYÊN Á,June
0317302930-001,CHI NHÁNH CÔNG TY TNHH MAY GIA CÔNG HÙNG HẬU,June
0303617377-012,CHI NHÁNH 12 - CÔNG TY TNHH THƯƠNG MẠI - XUẤT NHẬP KHẨU CƯỜNG NGA,June
0314529891-001,CHI NHÁNH CÔNG TY TNHH THANH PHÚC WINDOW,June
0315679184-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH CÔNG NGHỆ VFS,June
0315683945-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH DỊCH VỤ QUỐC TẾ HOÀNG KIM,June
0317162507-001,CHI NHÁNH 1 CÔNG TY TNHH XD TM DV SẢN XUẤT NỘI THẤT T&T,June
0317338479-001,CHI NHÁNH CÔNG TY TNHH TRANG TRÍ NỘI NGOẠI THẤT PHÚ KIM,June
0105857722-006,VĂN PHÒNG ĐẠI DIỆN MIỀN NAM CÔNG TY CỔ PHẦN DỊCH VỤ BẢO VỆ KỸ AN,June
0302309845-079,CHI NHÁNH CÔNG TY TNHH CAO PHONG TẠI LINH XUÂN-SIÊU THỊ ĐIỆN MÁY NỘI THẤT CHỢ LỚN,June
0312261582-004,CHI NHÁNH CÔNG TY TNHH QUYỀN PHONG,June
0314285733-002,CHI NHÁNH 2 - CÔNG TY TNHH ĐÀO TẠO CHÂU Á - THÁI BÌNH DƯƠNG,June
0314517448-002,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ ĐẮC THÀNH,June
0315040574-004,CHI NHÁNH 4 CÔNG TY TNHH HUY NGUYỄN GROUP,June
0315118372-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN DỊCH VỤ KỸ THUẬT SUNSHINE,June
0315899983-004,GIẢI PHÁP DU HỌC CHI NHÁNH - CÔNG TY CỔ PHẦN MNI GROUP,June
0315924679-002,CHI NHÁNH CÔNG TY TNHH BỒI DƯỠNG VĂN HÓA NGỌC BẢO CHÂU,June
0316002998-001,CHI NHÁNH CÔNG TY TNHH DỊCH VỤ BLUEBIRD,June
0316006199-001,CHI NHÁNH CÔNG TY TNHH VN TEC,June
0316373015-001,CHI NHÁNH TẠI HÓC MÔN - CÔNG TY TNHH VI DIỆU PHÁP HÀNH THIỀN TÂN HOÀ ĐÔNG,June
0316795578-002,CHI NHÁNH QUẬN 12 - CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ LOTI FOOD,June
0316904072-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH MAR6 STUDIOS,June
0317157507-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH TVX GROUP,June
0317338373-001,CHI NHÁNH CÔNG TY TNHH XƯA & NAY FNB,June
4100467236-001,CÔNG TY TNHH VI TÍNH QUI NHƠN - CHI NHÁNH TẠI TP. HỒ CHÍ MINH,June
0311282011-008,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN DKRA VIỆT NAM,June
0312378245-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CƠ ĐIỆN LẠNH MINH PHÚC,June
0317365151,CÔNG TY TNHH PHAN THỊNH THÀNH,June
0317365433,CÔNG TY CỔ PHẦN AD09,June
0317365666,CÔNG TY CỔ PHẦN BOXCO VIỆT NAM,June
0317365401,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THỰC PHẨM SẠCH DŨNG TRANG,June
0317365419,CÔNG TY TNHH XUẤT NHẬP KHẨU NÔNG SẢN SHIN-LON,June
